A
1100 Generated by WorldEditor 1.6.0r1

1    612 0 0 KUKI UKIAH MUNI
1302 city Ukiah
1302 country United States
1302 datum_lat 39.125944444
1302 datum_lon -123.200861111
1302 faa_code UKI
1302 iata_code UKI
1302 icao_code KUKI
1302 region_code K2
1302 state California
1302 transition_alt 18000
1302 transition_level 18000
100 45.72 1 0 0.25 0 2 0 15  39.13189229 -123.20243115    0    0 2 0 0 1 33  39.12002171 -123.19928217    0    0 2 0 0 1
110 1 0.00 -12.0000 Main Taxiway Area
111  39.12007571 -123.19898513
111  39.13191887 -123.20216382
111  39.13353325 -123.20259296
111  39.13330391 -123.20398506 1
111  39.13216408 -123.20368429 1
111  39.13206469 -123.20429603 1
112  39.13150104 -123.20416143  39.13149597 -123.20417123 1
111  39.13147236 -123.20437100 1
111  39.12873978 -123.20410538 1
111  39.12873978 -123.20417499 1
111  39.12754943 -123.20425066 1
111  39.12753065 -123.20367260 1
111  39.12642586 -123.20319799 1
111  39.12643294 -123.20396784 1
111  39.12519459 -123.20399944 1
111  39.12517081 -123.20300844 1
111  39.12501188 -123.20299888 1
111  39.12485536 -123.20301654 1
111  39.12484362 -123.20306698 1
111  39.12444058 -123.20301654 1
111  39.12445623 -123.20281730 1
111  39.12435645 -123.20280217 1
111  39.12445345 -123.20199762
112  39.12445345 -123.20199762  39.12445922 -123.20194206 1
112  39.12438745 -123.20190628  39.12433814 -123.20189851 1
112  39.12429971 -123.20195226  39.12429218 -123.20199496
111  39.12429971 -123.20195226 1
111  39.12405906 -123.20334944 1
111  39.12394754 -123.20333179 1
111  39.12419797 -123.20182868 1
111  39.12423319 -123.20164207 1
111  39.12419268 -123.20154094 1
111  39.11967652 -123.20011513 1
111  39.11971948 -123.19991662 1
112  39.11996889 -123.19969190  39.11997557 -123.19966405
111  39.11996889 -123.19969190
112  39.11996889 -123.19969190  39.11997260 -123.19967449 1
111  39.11999041 -123.19955932 1
113  39.11998760 -123.19954014
112  39.12824057 -123.20174997  39.12818230 -123.20173575 1
112  39.12810719 -123.20187935  39.12809673 -123.20194279 1
111  39.12804917 -123.20225499
